ID,Purpose,Purpose Code,Amount,Frequency
1,D,4,564,11.59
2,A,1,51883,4.6
3,B,2,2405,4.66
4,A,1,48628,3.21
5,A,1,41630,6.09
6,A,1,52525,5.12
7,A,1,45914,3.83
8,B,2,4204,3.25
9,D,4,1374,12.24
10,B,2,2490,4.45
11,A,1,50556,6.49
12,D,4,968,5.91
13,B,2,1048,2.46
14,A,1,48049,5.77
15,A,1,47367,4.85
16,C,3,19358,7.66
17,A,1,50971,6.1
18,B,2,2609,4.14
19,C,3,16752,15.65
20,A,1,48929,3.15
21,C,3,8706,18.33
22,B,2,5405,3.05
23,B,2,1245,3.2
24,C,3,5909,11.15
25,A,1,48865,7.68
26,A,1,50203,11.94
27,B,2,71,3.06
28,C,3,12008,18.55
29,B,2,1351,3.07
30,C,3,14551,10.84
31,D,4,1767,6.97
32,D,4,88,8.79
33,B,2,560,3.49
34,D,4,689,10.94
35,A,1,47395,4.47
36,B,2,630,2.74
37,D,4,117,9.11
38,D,4,649,9.64
39,A,1,51648,9.29
40,A,1,48816,5.42
41,A,1,48348,7.99
42,B,2,2231,2.93
43,C,3,17794,20.85
44,D,4,2235,8.11
45,B,2,497,3.95
46,A,1,52242,6.45
47,B,2,766,1.96
48,B,2,4727,3.26
49,B,2,1135,3.71
50,A,1,52743,1.53
51,D,4,978,10.38
52,A,1,46054,4.5
53,A,1,52367,5.78
54,D,4,1308,9.73
55,C,3,21854,17.5
56,C,3,17861,15.92
57,A,1,44056,7.14
58,B,2,1171,4.69
59,B,2,3962,2.96
60,B,2,4066,2.44
61,C,3,15567,19.23
62,C,3,16115,18.89
63,C,3,8814,16.06
64,C,3,14257,19.96
65,A,1,46263,1.59
66,C,3,18150,10.37
67,D,4,484,8.51
68,C,3,14045,11.7
69,D,4,662,9.32
70,A,1,48202,7.8
71,A,1,47556,7.71
72,B,2,2716,2.26
73,C,3,24584,16.31
74,A,1,45461,10.73
75,A,1,56156,7.1
76,D,4,35,7.45
77,B,2,2562,4.01
78,C,3,15289,18.38
79,C,3,9286,17.02
80,C,3,27412,13.56
81,C,3,22864,18.13
82,D,4,814,9.31
83,A,1,52435,7.83
84,B,2,5193,1.59
85,B,2,195,3.26
86,B,2,3582,2.96
87,D,4,1127,11.01
88,D,4,870,11.09
89,C,3,17789,13.78
90,D,4,787,12.9
91,A,1,48935,6.65
92,C,3,17038,16.78
93,C,3,14124,10.7
94,B,2,3174,2.21
95,B,2,2210,4.92
96,A,1,50485,8.31
97,A,1,44283,5.15
98,C,3,11084,18.42
99,D,4,1569,10.88
100,D,4,591,10.97
101,C,3,11711,14.82
102,C,3,15127,14.19
103,C,3,14920,9.5
104,D,4,1041,10.58
105,D,4,602,9.17
106,B,2,4841,3.43
107,C,3,14786,18.8
108,C,3,7181,22.89
109,A,1,52979,6.53
110,B,2,394,3.06
111,C,3,21148,20.16
112,A,1,48647,4.29
113,D,4,813,12.3
114,D,4,978,12.07
115,B,2,2276,3.06
116,D,4,407,8.4
117,B,2,3056,3.55
118,D,4,785,9.44
119,A,1,43960,10.45
120,B,2,1982,4.04
121,D,4,534,8.24
122,D,4,1395,10.66
123,A,1,52865,5.69
124,D,4,1727,11.58
125,A,1,49031,8.74
126,A,1,55037,6.22
127,B,2,2517,4.8
128,D,4,581,9.4
129,D,4,1615,6.73
130,D,4,1256,10.66
131,D,4,1112,11.42
132,B,2,644,3.48
133,B,2,5001,2.25
134,D,4,987,13.12
135,B,2,2979,3.37
136,D,4,1488,11.73
137,A,1,47435,4.88
138,D,4,1398,9.67
139,D,4,314,8.04
140,C,3,17058,11.82
141,C,3,9686,12.08
142,B,2,200,3.91
143,D,4,558,12.07
144,B,2,1229,3.66
145,A,1,49378,7.18
146,A,1,46461,9.85
147,D,4,909,11.98
148,B,2,1262,3.34
149,A,1,49551,7.56
150,D,4,66,7.57
151,D,4,785,9.9
152,D,4,730,10.35
153,D,4,502,8.76
154,B,2,2380,3.86
155,B,2,2035,3.28
156,B,2,1038,3.39
157,A,1,49727,9.62
158,B,2,766,3.85
159,C,3,12709,18.62
160,A,1,45993,6.52
161,A,1,50679,9.66
162,C,3,11585,16.41
163,D,4,1222,8.51
164,D,4,1066,11.55
165,A,1,49293,7.94
166,D,4,821,11.44
167,B,2,1758,3.5
168,A,1,49680,6.93
169,D,4,624,12.57
170,D,4,674,12.49
171,A,1,47853,5.45
172,D,4,1742,9.54
173,C,3,25675,18.11
174,D,4,383,8.67
175,B,2,1463,2.93
176,A,1,46953,9.23
177,B,2,3350,5.13
178,B,2,228,3.82
179,C,3,19858,15.2
180,B,2,1084,2.61
181,D,4,1104,11.38
182,D,4,1328,8.24
183,A,1,47302,6.47
184,B,2,2240,4.61
185,B,2,4137,4.77
186,C,3,10205,13.06
